bot_name,query_index,user_query,overall_score,warmth_validation,prose_vs_bullets,emoji_usage,conversational_tone,practical_advice,followup_question,support_solutions_balance,length_conciseness,bullet_count,prose_percentage,most_claude_like,least_claude_like
ActualClaude,1,I just walked into class and realized I’m wearing two different shoes.,8.8,9,10,9,7,9,8,9,9,0,100%,N/A,N/A
ActualClaude,2,My teacher asked for my homework and I fully forgot it existed.,7.1,8,3,9,6,9,8,6,8,3,40%,N/A,N/A
ActualClaude,3,I got seated next to someone I used to be friends with and it’s so awkward.,6.9,7,4,9,5,8,8,6,8,3,60%,N/A,N/A
ActualClaude,4,My best friend is being super dry over text and won’t tell me why.,7.1,8,4,8,6,8,8,7,8,4,60%,N/A,N/A
ActualClaude,5,Someone started a rumor about me and I don’t know how to shut it down.,6.9,8,2,9,5,8,9,6,8,10,20%,N/A,N/A
ActualClaude,6,I think I bombed my math test and I’m trying not to panic.,7.6,8,5,9,9,8,7,8,9,3,75%,N/A,N/A
ActualClaude,7,My group project partner hasn’t done anything and it’s due tomorrow.,6.8,8,3,9,6,9,9,6,8,8,25%,N/A,N/A
ActualClaude,8,I just got invited to a party and I don’t know how to ask my parents.,6.0,5,2,7,4,9,8,4,8,9,25%,N/A,N/A
ActualClaude,9,My parents checked my phone and now they’re acting weird.,7.1,8,5,9,5,8,6,8,8,3,75%,N/A,N/A
ActualClaude,10,I accidentally called my teacher ‘mom’ and I want to disappear.,8.8,9,10,8,9,7,9,9,9,0,100%,N/A,N/A
ActualClaude,11,My friend keeps copying everything I do and it’s getting annoying.,8.2,9,10,9,5,7,9,9,9,0,100%,N/A,N/A
ActualClaude,12,I saw my crush talking to someone else and now I feel dumb.,7.5,9,10,9,7,5,9,6,9,0,100%,N/A,N/A
ActualClaude,13,I have to present today and my hands won’t stop shaking.,6.0,6,2,7,4,9,8,4,8,8,25%,N/A,N/A
ActualClaude,14,My friend told me a secret and I’m not sure I’m supposed to know.,6.9,7,5,7,5,8,7,8,8,3,60%,N/A,N/A
ActualClaude,15,My sibling keeps going through my stuff and I’m about to lose it.,6.8,8,4,7,6,8,8,7,9,4,64%,N/A,N/A
ActualClaude,16,I forgot I had practice after school and I planned something else.,7.5,8,4,9,8,8,7,8,8,3,60%,N/A,N/A
ActualClaude,17,I got a weird vibe from a friend’s boyfriend and I don’t know what to do.,6.5,7,9,8,4,6,6,7,7,0,100%,N/A,N/A
ActualClaude,18,My parents are fighting again and I can hear everything from my room.,6.8,8,4,7,6,8,8,7,9,3,65%,N/A,N/A
ActualClaude,19,My teacher thinks I cheated because my answers match someone’s.,6.1,8,2,8,5,8,6,6,8,8,35%,N/A,N/A
ActualClaude,20,I got left on read by my crush and it’s making me spiral.,7.6,8,5,9,9,7,9,8,8,5,70%,N/A,N/A
ActualClaude,21,Someone took a picture of me without asking and posted it.,5.9,7,2,7,4,8,8,4,7,7,30%,N/A,N/A
ActualClaude,22,My friend keeps making ‘jokes’ that feel like insults.,6.9,8,4,7,5,8,7,7,9,3,70%,N/A,N/A
ActualClaude,23,I’m stuck sitting alone at lunch today and it feels obvious.,8.6,9,10,9,6,9,9,9,9,0,100%,N/A,N/A
ActualClaude,24,I just found out my friends hung out without inviting me.,8.4,9,10,9,6,9,7,9,9,0,100%,N/A,N/A
ActualClaude,25,My mom signed me up for something and didn’t ask me first.,7.8,9,10,10,7,6,6,5,9,0,100%,N/A,N/A
ActualClaude,26,My dad wants to talk about ‘my attitude’ and I’m already annoyed.,8.8,9,10,10,7,7,8,9,10,0,100%,N/A,N/A
ActualClaude,27,I have like five assignments due and my brain refuses to start.,8.1,9,5,9,9,9,8,7,9,3,60%,N/A,N/A
ActualClaude,28,I think I might have said something rude and I didn’t mean it.,8.6,9,10,9,6,7,9,9,10,0,100%,N/A,N/A
ActualClaude,29,My coach yelled at me in front of everyone and I’m embarrassed.,6.9,8,4,7,5,8,8,7,8,3,70%,N/A,N/A
ActualClaude,30,My friend keeps asking to copy my homework and I’m tired of it.,6.5,8,3,7,5,9,8,6,8,4,25%,N/A,N/A
ActualClaude,31,I accidentally liked an old post while stalking someone.,6.8,8,3,7,5,8,9,8,8,3,35%,N/A,N/A
ActualClaude,32,I’m pretty sure someone is mad at me but they won’t say why.,6.8,8,3,7,5,9,7,7,8,3,60%,N/A,N/A
ActualClaude,33,My teacher moved my seat away from my friends and I’m mad.,7.8,9,10,7,8,6,7,7,9,0,100%,N/A,N/A
ActualClaude,34,I got told to ‘calm down’ and now I’m even less calm.,9.2,9,10,10,7,8,10,9,10,0,100%,N/A,N/A
ActualClaude,35,I didn’t get picked for the team and I’m trying to act fine.,9.0,9,10,9,9,7,9,9,10,0,100%,N/A,N/A
ActualClaude,36,My friend is dating someone I really don’t trust.,7.5,9,10,9,9,3,9,4,9,0,100%,N/A,N/A
ActualClaude,37,I overheard people talking about me in the hallway.,7.4,8,10,9,7,5,7,6,9,0,100%,N/A,N/A
ActualClaude,38,I have to choose classes for next year and I feel so behind.,8.1,9,10,9,9,5,8,6,9,0,100%,N/A,N/A
ActualClaude,39,My parents want my grades to be perfect and it’s stressing me out.,6.9,8,4,8,5,8,6,7,8,3,75%,N/A,N/A
ActualClaude,40,Someone keeps texting me nonstop and I don’t know how to set a boundary.,6.2,7,3,7,5,9,9,5,8,7,20%,N/A,N/A
ActualClaude,41,I forgot my lunch and I’m trying not to be dramatic about it.,8.0,9,10,10,7,9,5,9,9,0,100%,N/A,N/A
ActualClaude,42,My friend borrowed my stuff and returned it ruined.,8.2,9,10,9,9,5,9,6,9,0,100%,N/A,N/A
ActualClaude,43,I think my friend is lying to me and I don’t know how to ask.,6.1,7,3,8,4,9,5,5,8,3,40%,N/A,N/A
ActualClaude,44,My teacher called on me and my mind went completely blank.,7.4,9,10,9,9,5,4,6,9,0,100%,N/A,N/A
ActualClaude,45,I got in trouble for something I didn’t do.,8.8,9,10,9,9,7,9,8,9,0,100%,N/A,N/A
ActualClaude,46,I feel like my friends only talk to me when they need something.,7.9,8,10,9,6,8,6,7,9,0,100%,N/A,N/A
ActualClaude,47,My parents won’t let me go out and everyone else can.,6.8,7,4,8,6,8,7,6,8,4,65%,N/A,N/A
ActualClaude,48,I’m getting compared to my sibling again and it sucks.,7.9,9,10,9,6,5,9,6,9,0,100%,N/A,N/A
ActualClaude,49,My crush smiled at me and now I’m overthinking everything.,9.0,9,10,10,9,8,9,9,9,0,100%,N/A,N/A
ActualClaude,50,I got paired with someone in class who literally hates me.,6.4,7,4,9,5,8,4,6,8,3,75%,N/A,N/A
ActualClaude,51,I’m pretty sure I’m the ‘backup friend’ and it hurts.,8.4,9,10,9,7,6,9,8,9,0,100%,N/A,N/A
ActualClaude,52,I want to quit an activity but I feel guilty.,8.9,9,10,9,9,8,9,9,9,0,100%,N/A,N/A
ActualClaude,53,My friend keeps cancelling plans last minute.,7.3,9,4,8,6,7,9,8,9,3,75%,N/A,N/A
ActualClaude,54,Someone keeps making comments about my body and I hate it.,6.0,7,3,6,5,8,9,6,8,7,20%,N/A,N/A
ActualClaude,55,I posted something and now I regret it.,7.5,8,5,7,8,8,9,7,8,4,65%,N/A,N/A
ActualClaude,56,My friend told me they’re struggling and I don’t know how to help.,6.0,6,3,9,3,8,7,5,7,10,25%,N/A,N/A
ActualClaude,57,I got a detention and I don’t even think it was fair.,7.1,9,10,8,5,4,6,5,9,0,100%,N/A,N/A
ActualClaude,58,I’m nervous about talking to the school counselor.,7.2,8,4,8,7,9,5,8,9,4,65%,N/A,N/A
ActualClaude,59,I feel like I’m always the one starting conversations.,8.1,8,10,8,7,8,7,8,9,0,100%,N/A,N/A
ActualClaude,60,My friend’s parents don’t like me and it’s awkward.,6.6,8,4,7,5,8,6,7,8,3,65%,N/A,N/A
ActualClaude,61,I think I might like someone but I don’t know if it’s mutual.,7.9,8,10,7,6,7,9,9,9,0,100%,N/A,N/A
ActualClaude,62,My friend is pressuring me to do something I’m not comfortable with.,6.1,7,4,8,5,6,5,7,8,3,65%,N/A,N/A
ActualClaude,63,I walked into the wrong classroom and everyone stared.,9.4,9,10,10,9,8,10,9,10,0,100%,N/A,N/A
ActualClaude,64,I lost something important at school and I’m freaking out.,8.8,9,10,10,9,8,6,9,9,0,100%,N/A,N/A
ActualClaude,65,My friend keeps gossiping and I don’t want to be part of it.,6.3,7,2,7,5,9,8,5,8,6,35%,N/A,N/A
ActualClaude,66,I’m getting stressed for no reason and I can’t shut my brain off.,7.6,8,3,8,9,9,9,8,8,4,40%,N/A,N/A
ActualClaude,67,My parents want to talk about college and I’m only in like… tenth grade.,9.1,9,10,9,9,9,9,9,9,0,100%,N/A,N/A
ActualClaude,68,I think my teacher hates me and I don’t know why.,6.8,8,4,9,5,7,8,7,8,4,60%,N/A,N/A
ActualClaude,69,Someone keeps teasing me and I can’t tell if it’s bullying.,6.6,7,3,7,5,8,8,7,8,8,30%,N/A,N/A
